db_id,question,query
academic,return me all the organizations .,select name from organization;
small_bank_1,find the average checking balance.,select avg(balance) from checking
music_1,what is the name of the song that was released most recently?,"select song_name ,  releasedate from song order by releasedate desc limit 1"
geo,what is the highest point of the usa,select highest_point from highlow where highest_elevation  =  ( select max ( highest_elevation ) from highlow );
restaurants,give me the best american in the bay area ?,"select t3.house_number  ,  t1.name from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name join location as t3 on t1.id  =  t3.restaurant_id where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" and t1.rating  =  ( select max ( t1.rating ) from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" );"
college_1,what are the last name and office of all history professors?,"select t1.emp_lname ,  t2.prof_office from employee as t1 join professor as t2 on t1.emp_num  =  t2.emp_num join department as t3 on t2.dept_code  =  t3.dept_code where t3.dept_name  =  'history'"
local_govt_in_alabama,how many events had participants whose details had the substring 'dr.',select count(*) from participants as t1 join participants_in_events as t2 on t1.participant_id  =  t2.participant_id where t1.participant_details like '%dr.%'
music_2,what is the label with the most albums?,select label from albums group by label order by count(*) desc limit 1
geo,what is the density of the wyoming,"select density from state where state_name  =  ""wyoming"";"
bike_1,how many different bike ids are there?,select count(distinct bike_id) from trip
imdb,"who acted "" alan turing "" in the movie "" the imitation game "" ?","select t1.name from cast as t2 join actor as t1 on t2.aid  =  t1.aid join movie as t3 on t3.mid  =  t2.msid where t2.role  =  ""alan turing"" and t3.title  =  ""the imitation game"";"
coffee_shop,which address has both members younger than 30 and members older than 40?,select address from member where age  <  30 intersect select address from member where age  >  40
e_learning,"what are the subject id, subject name, and the number of available courses for each subject?","select t1.subject_id ,  t2.subject_name ,  count(*) from courses as t1 join subjects as t2 on t1.subject_id  =  t2.subject_id group by t1.subject_id"
dog_kennels,how much does each charge type costs? list both charge type and amount.,"select charge_type ,  charge_amount from charges"
geo,what state is springfield located in,"select state_name from city where city_name  =  ""springfield"";"
cre_docs_and_epenses,what is the document type name and the document type description and creation date for all the documents?,"select t1.document_type_name ,  t1.document_type_description ,  t2.document_date from ref_document_types as t1 join documents as t2 on t1.document_type_code  =  t2.document_type_code"
college_3,find the first names and last names of male (sex is m) faculties who live in building neb.,"select fname ,  lname from faculty where sex  =  ""m"" and building  =  ""neb"""
scholar,subhasis chaudhuri,"select distinct t3.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join paper as t3 on t2.paperid  =  t3.paperid where t1.authorname  =  ""subhasis chaudhuri"";"
store_1,list the name of playlist which has number of tracks greater than 100.,select t2.name from playlist_tracks as t1 join playlists as t2 on t2.id = t1.playlist_id group by t1.playlist_id having count(t1.track_id)  >  100;
geo,what is the combined population of all 50 states,select sum ( population ) from state;
scholar,how many papers does michael i. jordan have in 2016 ?,"select distinct count ( t2.paperid ) from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join paper as t3 on t2.paperid  =  t3.paperid where t1.authorname  =  ""michael i. jordan"" and t3.year  =  2016;"
store_1,what are the first and last names of the 5 customers who purchased something most recently?,"select t1.first_name ,  t1.last_name from customers as t1 join invoices as t2 on t2.customer_id  =  t1.id order by t2.invoice_date desc limit 5;"
product_catalog,what are the entry names of catalog with the attribute possessed by most entries.,select t1.catalog_entry_name from catalog_contents as t1 join catalog_contents_additional_attributes as t2 on t1.catalog_entry_id  =  t2.catalog_entry_id where t2.attribute_value  =  (select attribute_value from catalog_contents_additional_attributes group by attribute_value order by count(*) desc limit 1)
customers_and_invoices,count the number of invoices.,select count(*) from invoices
scholar,authors working on imagenet,"select distinct t2.paperid from paperdataset as t3 join dataset as t1 on t3.datasetid  =  t1.datasetid join paper as t4 on t4.paperid  =  t3.paperid join writes as t2 on t2.paperid  =  t4.paperid where t1.datasetname  =  ""imagenet"" group by t2.paperid;"
insurance_fnol,"what are the ids of customers who have ""diana"" in part of their names?","select customer_id from customers where customer_name like ""%diana%"""
formula_1,what are the forenames and surnames of drivers who participated in the races named australian grand prix but not the races named chinese grand prix?,"select t3.forename ,  t3.surname from races as t1 join results as t2 on t1.raceid = t2.raceid join drivers as t3 on t2.driverid = t3.driverid where t1.name = ""australian grand prix"" except select t3.forename ,  t3.surname from races as t1 join results as t2 on t1.raceid = t2.raceid join drivers as t3 on t2.driverid = t3.driverid where t1.name = ""chinese grand prix"""
poker_player,what are the names of poker players in descending order of earnings?,select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t2.earnings desc
scholar,datasets by jitendra malik,"select distinct t2.datasetid from paper as t3 join paperdataset as t2 on t3.paperid  =  t2.paperid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t1.authorname  =  ""jitendra malik"";"
course_teach,show different hometown of teachers and the number of teachers from each hometown.,"select hometown ,  count(*) from teacher group by hometown"
scholar,what papers has liwen xiong written in 2015,"select distinct t3.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid join paper as t3 on t2.paperid  =  t3.paperid where t1.authorname  =  ""liwen xiong"" and t3.year  =  2015;"
college_3,what are the last names of faculty who are part of the computer science department?,"select t2.lname from department as t1 join faculty as t2 on t1.dno  =  t3.dno join member_of as t3 on t2.facid  =  t3.facid where t1.dname  =  ""computer science"""
scholar,what datasets are used in papers by jitendra malik,"select distinct t2.datasetid from paper as t3 join paperdataset as t2 on t3.paperid  =  t2.paperid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t1.authorname  =  ""jitendra malik"";"
music_2,what is the last name of the musicians who has played back position the most?,"select t2.lastname from performance as t1 join band as t2 on t1.bandmate  =  t2.id where stageposition  =  ""back"" group by lastname order by count(*) desc limit 1"
student_transcripts_tracking,which semesters do not have any student enrolled? list the semester name.,select semester_name from semesters where semester_id not in( select semester_id from student_enrolment )
e_government,what are the last names of individuals who have been contact individuals for an organization?,select distinct t1.individual_last_name from individuals as t1 join organization_contact_individuals as t2 on t1.individual_id  =  t2.individual_id
customers_and_invoices,what is the id of the account with the most transactions?,select account_id from financial_transactions group by account_id order by count(*) desc limit 1
cre_doc_tracking_db,what are all the calendar dates and day numbers?,"select calendar_date ,  day_number from ref_calendar"
imdb,"find the directors of all movies featuring "" kate winslet ""","select t3.name from cast as t4 join actor as t1 on t4.aid  =  t1.aid join movie as t5 on t5.mid  =  t4.msid join directed_by as t2 on t5.mid  =  t2.msid join director as t3 on t3.did  =  t2.did where t1.name  =  ""kate winslet"";"
club_1,give me the name of each club.,select clubname from club
gas_company,list all headquarters and the number of companies in each headquarter.,"select headquarters ,  count(*) from company group by headquarters"
geo,what states border texas and have a major river,"select state_name from border_info where border  =  ""texas"" and state_name in ( select traverse from river where length  >  750 );"
cinema,count the number of films whose title contains the word 'dummy'.,"select count(*) from film where title like ""%dummy%"""
customers_and_addresses,"which product's detail contains the word ""latte"" or ""americano""? return the full detail.","select product_details from products where product_details like ""%latte%"" or product_details like ""%americano%"""
car_1,what is the maximum accelerate for all the different cylinders?,"select max(accelerate) ,  cylinders from cars_data group by cylinders;"
scholar,where does peter mertens publish ?,"select distinct t3.journalid  ,  t4.venueid from venue as t4 join paper as t3 on t4.venueid  =  t3.venueid join writes as t2 on t2.paperid  =  t3.paperid join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""peter mertens"";"
ship_mission,what are the names of the ships that are not involved in any missions?,select name from ship where ship_id not in (select ship_id from mission)
orchestra,count the number of conductors.,select count(*) from conductor
hr_1,"what are the ids, full names, and salaries for employees making more than average and who work in a department with employees who have the letter j in their first name?","select employee_id ,  first_name ,  last_name ,  salary from employees where salary  >  ( select avg (salary) from employees ) and department_id in ( select department_id from employees where first_name like '%j%')"
insurance_policies,what is total amount claimed summed across all the claims?,select sum(amount_claimed) from claims
music_4,"what are the category of music festivals with result ""awarded""?","select category from music_festival where result  =  ""awarded"""
wedding,how many churches have a wedding in year 2016?,select count (distinct church_id) from wedding where year  =  2016
insurance_and_eclaims,find the name of the customer that has been involved in the most policies.,select t2.customer_details from policies as t1 join customers as t2 on t1.customer_id  =  t2.customer_id group by t2.customer_details order by count(*) desc limit 1
network_2,find the name and age of the person who is a friend of both dan and alice.,"select t1.name ,  t1.age from person as t1 join personfriend as t2 on t1.name  =  t2.name where t2.friend  =  'dan' intersect select t1.name ,   t1.age from person as t1 join personfriend as t2 on t1.name  =  t2.name where t2.friend  =  'alice'"
voter_2,find the distinct number of president votes.,select count(distinct president_vote) from voting_record
sports_competition,how many different positions are there?,select count(distinct position) from player
flight_1,show origin and destination for flights with price higher than 300.,"select origin ,  destination from flight where price  >  300"
document_management,"what are the names and urls of images, sorted alphabetically?","select image_name ,  image_url from images order by image_name"
geo,what is the biggest city in wyoming,"select city_name from city where population  =  ( select max ( population ) from city where state_name  =  ""wyoming"" ) and state_name  =  ""wyoming"";"
yelp,"what is the number of checkins for "" cafe zinho "" on friday","select t2.count from checkin as t2 join business as t1 on t2.business_id  =  t1.business_id where t1.name  =  ""cafe zinho"" and t2.day  =  ""friday"";"
formula_1,what are the names of races held after 12:00:00 or before 09:00:00?,"select name from races where time > ""12:00:00"" or time < ""09:00:00"""
scholar,papers by sharon goldwater ?,"select distinct t2.paperid from writes as t2 join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""sharon goldwater"";"
dorm_1,find the first and last name of students who are not in the largest major.,"select fname ,  lname from student where major != (select major from student group by major order by count(*) desc limit 1)"
yelp,"find all restaurant reviewed by patrick in "" dallas ""","select t1.name from category as t2 join business as t1 on t2.business_id  =  t1.business_id join review as t3 on t3.business_id  =  t1.business_id join user as t4 on t4.user_id  =  t3.user_id where t1.city  =  ""dallas"" and t2.category_name  =  ""restaurant"" and t4.name  =  ""patrick"";"
allergy_1,show all student ids who have at least two allergies.,select stuid from has_allergy group by stuid having count(*)  >=  2
course_teach,show the name of teachers aged either 32 or 33?,select name from teacher where age  =  32 or age  =  33
machine_repair,show different teams of technicians and the number of technicians in each team.,"select team ,  count(*) from technician group by team"
cre_drama_workshop_groups,"what are the states or counties of the address of the stores with marketing region code ""ca""?","select t1.state_county from addresses as t1 join stores as t2 on t1.address_id  =  t2.address_id where t2.marketing_region_code  =  ""ca"""
film_rank,list the distinct director of all films.,select distinct director from film
e_learning,"what are the names and descriptions of the all courses under the ""computer science"" subject?","select t1.course_name ,  t1.course_description from courses as t1 join subjects as t2 on t1.subject_id  =  t2.subject_id where t2.subject_name  =  ""computer science"""
scholar,how many papers were published in nature communications in 2015 ?,"select distinct count ( t1.paperid ) from venue as t2 join paper as t1 on t2.venueid  =  t1.venueid where t1.year  =  2015 and t2.venuename  =  ""nature communications"";"
e_government,what is the name of organization that has the greatest number of contact individuals?,select t1.organization_name from organizations as t1 join organization_contact_individuals as t2 on t1.organization_id  =  t2.organization_id group by t1.organization_name order by count(*) desc limit 1
student_transcripts_tracking,what is the first name of the student whose permanent address is different from his or her current one?,select first_name from students where current_address_id != permanent_address_id
battle_death,what are the death and injury situations caused by the ship with tonnage 't'?,"select t1.killed ,  t1.injured from death as t1 join ship as t2 on t1.caused_by_ship_id  =  t2.id where t2.tonnage  =  't'"
hr_1,what are the full names and hire dates for employees in the same department as someone with the first name clara?,"select first_name ,  last_name ,  hire_date from employees where department_id  =  (select department_id from employees where first_name  =  ""clara"")"
hr_1,"what are the emails of employees with null commission, salary between 7000 and 12000, and who work in department 50?","select email from employees where commission_pct  =  ""null"" and salary between 7000 and 12000 and department_id = 50"
department_store,return the ids of the two department store chains with the most department stores.,select dept_store_chain_id from department_stores group by dept_store_chain_id order by count(*) desc limit 2
cre_docs_and_epenses,what are the statement id and statement detail for the statement that has the most corresponding accounts?,"select t1.statement_id ,  t2.statement_details from accounts as t1 join statements as t2 on t1.statement_id  =  t2.statement_id group by t1.statement_id order by count(*) desc limit 1"
music_1,find the distinct names of all songs that have a higher resolution than some songs in english.,"select distinct song_name from song where resolution  >  (select min(resolution) from song where languages  =  ""english"")"
game_1,what are the ids of all female students who play football?,"select stuid from student where sex  =  'f' intersect select stuid from sportsinfo where sportname  =  ""football"""
race_track,what are the classes of races that have two or more corresponding races?,select class from race group by class having count(*)  >=  2
film_rank,what is the name of teh studio that created the most films?,select studio from film group by studio order by count(*) desc limit 1
medicine_enzyme_interaction,what are the names of enzymes in the medicine named 'amisulpride' that can serve as an 'inhibitor'?,select t1.name from enzyme as t1 join medicine_enzyme_interaction as t2 on t1.id  =  t2.enzyme_id join medicine as t3 on t2.medicine_id  =  t3.id where t3.name  =  'amisulpride' and t2.interaction_type  =  'inhibitor'
ship_mission,"show the distinct fate of missions that involve ships with nationality ""united states""","select distinct t1.fate from mission as t1 join ship as t2 on t1.ship_id  =  t2.ship_id where t2.nationality  =  ""united states"""
customer_deliveries,find the name of route that has the highest number of deliveries.,select t1.route_name from delivery_routes as t1 join delivery_route_locations as t2 on t1.route_id  =  t2.route_id group by t1.route_id order by count(*) desc limit 1
driving_school,which city does staff with first name as janessa and last name as sawayn live?,"select t1.city from addresses as t1 join staff as t2 on t1.address_id = t2.staff_address_id where t2.first_name = ""janessa"" and t2.last_name = ""sawayn"";"
protein_institute,how many institutions do not have an associated protein in our record?,select count(*) from institution where institution_id not in (select institution_id from protein)
musical,who are the nominees who have been nominated more than two times?,select nominee from musical group by nominee having count(*)  >  2
riding_club,show the names and genders of players with a coach starting after 2011.,"select t3.player_name ,  t3.gender from player_coach as t1 join coach as t2 on t1.coach_id  =  t2.coach_id join player as t3 on t1.player_id  =  t3.player_id where t1.starting_year  >  2011"
college_1,find the total number of employees.,select count(*) from employee
party_host,show the most common nationality of hosts.,select nationality from host group by nationality order by count(*) desc limit 1
products_gen_characteristics,what is the description of the product category with the code 'spices'?,"select product_category_description from ref_product_categories where product_category_code  =  ""spices"""
student_transcripts_tracking,what is the date and id of the transcript with the least number of results?,"select t2.transcript_date ,  t1.transcript_id from transcript_contents as t1 join transcripts as t2 on t1.transcript_id  =  t2.transcript_id group by t1.transcript_id order by count(*) asc limit 1"
scholar,i want the co-authors of papers on machine translation output with philipp koehn,"select distinct t1.authorid from paperkeyphrase as t6 join keyphrase as t3 on t6.keyphraseid  =  t3.keyphraseid join writes as t4 on t4.paperid  =  t6.paperid join writes as t5 on t5.paperid  =  t4.paperid join author as t1 on t5.authorid  =  t1.authorid join author as t2 on t4.authorid  =  t2.authorid where t2.authorname  =  ""philipp koehn"" and t3.keyphrasename  =  ""machine translation output"";"
academic,return me the number of papers after 2000 .,select count ( distinct title ) from publication where year  >  2000;
voter_1,how many contestants did not get voted?,select count(*) from contestants where contestant_number not in ( select contestant_number from votes )
gymnast,count the number of different hometowns of these people.,select count(distinct hometown) from people
flight_4,what is the number of routes whose destinations are italian airports?,select count(*) from routes as t1 join airports as t2 on t1.dst_apid  =  t2.apid where t2.country  =  'italy'
geo,what is the largest of the state that the rio grande runs through,"select state_name from state where area  =  ( select max ( area ) from state where state_name in ( select traverse from river where river_name  =  ""rio grande"" ) ) and state_name in ( select traverse from river where river_name  =  ""rio grande"" );"
city_record,"in february, which city marks the highest temperature?",select t1.city from city as t1 join temperature as t2 on t1.city_id  =  t2.city_id order by t2.feb desc limit 1
sakila_1,what are the payment dates for any payments that have an amount greater than 10 or were handled by a staff member with the first name elsa?,select payment_date from payment where amount  >  10 union select t1.payment_date from payment as t1 join staff as t2 on t1.staff_id  =  t2.staff_id where t2.first_name  =  'elsa'
gymnast,return the average horizontal bar points across all gymnasts.,select avg(horizontal_bar_points) from gymnast
flight_2,count the number of flights into ato.,"select count(*) from flights where destairport  =  ""ato"""
activity_1,find the ids of the students who participate in canoeing and kayaking.,select t1.stuid from participates_in as t1 join activity as t2 on t2.actid  =  t2.actid where t2.activity_name  =  'canoeing' intersect select t1.stuid from participates_in as t1 join activity as t2 on t2.actid  =  t2.actid where t2.activity_name  =  'kayaking'
wedding,show the country where people older than 30 and younger than 25 are from.,select country from people where age  <  25 intersect select country from people where age  >  30
poker_player,return the names of poker players sorted by their earnings descending.,select t1.name from people as t1 join poker_player as t2 on t1.people_id  =  t2.people_id order by t2.earnings desc
tracking_share_transactions,"show the minimum amount of transactions whose type code is ""pur"" and whose share count is bigger than 50.","select min(amount_of_transaction) from transactions where transaction_type_code  =  ""pur"" and share_count  >  50"
film_rank,return the titles and directors of films that were never in the market of china.,"select title ,  director from film where film_id not in (select film_id from film_market_estimation as t1 join market as t2 on t1.market_id  =  t2.market_id where country  =  'china')"
cre_drama_workshop_groups,"compute the total order quantities of the product ""photo"".","select sum(t1.order_quantity) from order_items as t1 join products as t2 on t1.product_id  =  t2.product_id where t2.product_name  =  ""photo"""
apartment_rentals,what are the apartment number and the room count of each apartment?,"select apt_number ,  room_count from apartments"
apartment_rentals,return the apartment number with the largest number of bedrooms.,select apt_number from apartments order by bedroom_count desc limit 1
car_1,what is the horsepower of the car with the largest accelerate?,select t1.horsepower from cars_data as t1 order by t1.accelerate desc limit 1;
university_basketball,how many universities have a location that contains ny?,"select count(*) from university where location like ""%ny%"""
geo,what is the smallest city in the usa,select city_name from city where population  =  ( select min ( population ) from city );
customers_and_invoices,how many products were not included in any order?,select count(*) from products where product_id not in ( select product_id from order_items )
movie_1,what are the different names of all reviewers whose ratings do not have a date field?,"select distinct name from reviewer as t1 join rating as t2 on t1.rid  =  t2.rid where ratingdate  =  ""null"""
insurance_policies,find the settlement amount of the claim with the largest claim amount. show both the settlement amount and claim amount.,"select amount_settled ,  amount_claimed from claims order by amount_claimed desc limit 1"
loan_1,find the name and credit score of the customers who have some loans.,"select distinct t1.cust_name ,  t1.credit_score from customer as t1 join loan as t2 on t1.cust_id  =  t2.cust_id"
entrepreneur,which company was started by the entrepreneur with the greatest height?,select t1.company from entrepreneur as t1 join people as t2 on t1.people_id  =  t2.people_id order by t2.height desc limit 1
sakila_1,return the first names of customers who did not rented a film after the date '2005-08-23 02:06:01'.,select first_name from customer where customer_id not in( select customer_id from rental where rental_date  >  '2005-08-23 02:06:01' )
party_host,which nationality has the most hosts?,select nationality from host group by nationality order by count(*) desc limit 1
hospital_1,"tell me the highest, lowest, and average cost of procedures.","select max(cost) ,  min(cost) ,  avg(cost) from procedures"
apartment_rentals,show the most common apartment type code.,select apt_type_code from apartments group by apt_type_code order by count(*) desc limit 1
flight_4,how many routes end in a canadian airport?,select count(*) from airports as t1 join routes as t2 on t1.apid  =  t2.dst_apid where country  =  'canada'
csu_1,which campus has the most degrees conferred in all times?,select campus from degrees group by campus order by sum(degrees) desc limit 1
school_finance,count the number of schools.,select count(*) from school
bike_1,how many different cities have these stations?,select count(distinct city) from station
small_bank_1,what are the balances of checking accounts belonging to people with savings balances greater than the average savings balance?,select t2.balance from accounts as t1 join checking as t2 on t1.custid  =  t2.custid where t1.name in (select t1.name from accounts as t1 join savings as t2 on t1.custid  =  t2.custid where t2.balance  >  (select avg(balance) from savings))
hospital_1,how many different types of rooms are there?,select count(distinct roomtype) from room
match_season,show the country name and capital of all countries.,"select country_name ,  capital from country"
geo,what is the most populous city,select city_name from city where population  =  ( select max ( population ) from city );
bike_1,what are the dates with a maximum temperature higher than 85?,select date from weather where max_temperature_f  >  85
apartment_rentals,what are the top three apartment types in terms of the average room count? give me the,select apt_type_code from apartments group by apt_type_code order by avg(room_count) desc limit 3
music_2,"what are the names of the songs whose title has the word ""the""?",select title from songs where title like '% the %'
scholar,who are noah a smith 's co-authors,"select distinct t1.authorid from writes as t3 join author as t2 on t3.authorid  =  t2.authorid join writes as t4 on t4.paperid  =  t3.paperid join author as t1 on t4.authorid  =  t1.authorid where t2.authorname  =  ""noah a smith"";"
restaurants,give me the best american restaurant in the bay area ?,"select t3.house_number  ,  t1.name from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name join location as t3 on t1.id  =  t3.restaurant_id where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" and t1.rating  =  ( select max ( t1.rating ) from restaurant as t1 join geographic as t2 on t1.city_name  =  t2.city_name where t2.region  =  ""bay area"" and t1.food_type  =  ""american"" );"
world_1,which languages are spoken by only one country in republic governments?,"select t2.language from country as t1 join countrylanguage as t2 on t1.code  =  t2.countrycode where t1.governmentform  =  ""republic"" group by t2.language having count(*)  =  1"
geo,how many citizens in california,"select population from state where state_name  =  ""california"";"
dog_kennels,"which owner owns the most dogs? list the owner id, first name and last name.","select t1.owner_id ,  t2.first_name ,  t2.last_name from dogs as t1 join owners as t2 on t1.owner_id  =  t2.owner_id group by t1.owner_id order by count(*) desc limit 1"
restaurant_1,which major has between 2 and 30 number of students? list major and the number of students.,"select major ,  count(*) from student group by major having count(major) between 2 and 30;"
insurance_and_eclaims,"what is the description of the claim status ""open""?","select claim_status_description from claims_processing_stages where claim_status_name  =  ""open"""
wta_1,what are the codes of countries with more than 50 players?,select country_code from players group by country_code having count(*)  >  50
wine_1,return the prices of wines produced before 2010.,select price from wine where year  <  2010
geo,what states border states that border states that border states that border texas,"select t1.border from border_info as t2 join border_info as t1 on t2.border  =  t1.state_name join border_info as t3 on t3.border  =  t2.state_name join border_info as t4 on t4.border  =  t3.state_name where t4.state_name  =  ""texas"";"
storm_record,count the number of storms in which at least 1 person died.,select count(*) from storm where number_deaths  >  0
tvshow,find the number of cartoons directed by each of the listed directors.,"select count(*) ,  directed_by from cartoon group by directed_by"
battle_death,list the name and date the battle that has lost the ship named 'lettice' and the ship named 'hms atalanta',"select t1.name ,  t1.date from battle as t1 join ship as t2 on t1.id  =  t2.lost_in_battle where t2.name  =  'lettice' intersect select t1.name ,  t1.date from battle as t1 join ship as t2 on t1.id  =  t2.lost_in_battle where t2.name  =  'hms atalanta'"
college_2,find the minimum salary for the departments whose average salary is above the average payment of all instructors.,"select min(salary) ,  dept_name from instructor group by dept_name having avg(salary)  >  (select avg(salary) from instructor)"
music_4,what are the distinct famous release dates?,select distinct(famous_release_date) from artist
architecture,what are the names and year of construction for the mills of 'grondzeiler' type?,"select name ,  built_year from mill where type  =  'grondzeiler'"
cre_theme_park,show the details of the top 3 most expensive hotels.,select other_hotel_details from hotels order by price_range desc limit 3
restaurants,give me a good arabic on buchanan in san francisco ?,"select t2.house_number  ,  t1.name from restaurant as t1 join location as t2 on t1.id  =  t2.restaurant_id where t2.city_name  =  ""san francisco"" and t2.street_name  =  ""buchanan"" and t1.food_type  =  ""arabic"" and t1.rating  >  2.5;"
scientist_1,how many scientists do not have any projects assigned to them?,select count(*) from scientists where ssn not in (select scientist from assignedto)
company_office,count the number of companies.,select count(*) from companies
sakila_1,how many languages are in these films?,select count(distinct language_id) from film
wta_1,what are the country code and first name of the players who won in both tourney wta championships and australian open?,"select t1.country_code ,  t1.first_name from players as t1 join matches as t2 on t1.player_id  =  t2.winner_id where t2.tourney_name  =  'wta championships' intersect select t1.country_code ,  t1.first_name from players as t1 join matches as t2 on t1.player_id  =  t2.winner_id where t2.tourney_name  =  'australian open'"
baseball_1,list the names of states that have more than 2 parks.,select state from park group by state having count(*)  >  2;
soccer_1,what is the average rating for right-footed players and left-footed players?,"select preferred_foot ,  avg(overall_rating) from player_attributes group by preferred_foot"
ship_1,"find the name, class and rank of all captains.","select name ,  class ,  rank from captain"
college_1,"what is the name of the department that offers a course that has a description including the word ""statistics""?",select t2.dept_name from course as t1 join department as t2 on t1.dept_code  =  t2.dept_code where t1.crs_description like '%statistics%'
theme_gallery,how many exhibitions have a attendance more than 100 or have a ticket price below 10?,select count(*) from exhibition_record as t1 join exhibition as t2 on t1.exhibition_id  =  t2.exhibition_id where t1.attendance  >  100 or t2.ticket_price  <  10
scholar,best paper in tacl 2014 ?,"select distinct count ( distinct t3.citingpaperid )  ,  t1.paperid from paper as t1 join cite as t3 on t1.paperid  =  t3.citedpaperid join venue as t2 on t2.venueid  =  t1.venueid where t1.year  =  2014 and t2.venuename  =  ""tacl"" group by t1.paperid order by count ( distinct t3.citingpaperid ) desc;"
hr_1,display the id for those employees who did two or more jobs in the past.,select employee_id from job_history group by employee_id having count(*)  >= 2
cre_doc_template_mgt,"what are the ids, version numbers, and type codes for each template?","select template_id ,  version_number ,  template_type_code from templates"
film_rank,how many markets have number of cities smaller than 300?,select count(*) from market where number_cities  <  300
university_basketball,"what are the different affiliations, and what is the total enrollment of schools founded after 1850 for each enrollment type?","select sum(enrollment) ,  affiliation from university where founded  >  1850 group by affiliation"
apartment_rentals,which apartment type code is the most common among apartments with more than one bathroom?,select apt_type_code from apartments where bathroom_count  >  1 group by apt_type_code order by count(*) desc limit 1
school_player,which schools do not have any player? give me the school locations.,select location from school where school_id not in (select school_id from player)
movie_1,find the title and score of the movie with the lowest rating among all movies directed by each director.,"select t2.title ,  t1.stars ,  t2.director ,  min(t1.stars) from rating as t1 join movie as t2 on t1.mid  =  t2.mid group by t2.director"
world_1,return the names and surface areas of the 5 largest countries.,"select name ,  surfacearea from country order by surfacearea desc limit 5"
music_1,list the name and gender for all artists who released songs in march.,"select t1.artist_name ,  t1.gender from artist as t1 join song as t2 on t1.artist_name  =  t2.artist_name where t2.releasedate like ""%mar%"""
cre_doc_template_mgt,"what are the template ids with template type description ""presentation"".","select t2.template_id from ref_template_types as t1 join templates as t2 on t1.template_type_code  = t2.template_type_code where t1.template_type_description  =  ""presentation"""
car_1,what is the horsepower of the car with the greatest accelerate?,select t1.horsepower from cars_data as t1 order by t1.accelerate desc limit 1;
cre_doc_control_systems,"how many employees does each role have? list role description, id and number of employees.","select t1.role_description ,  t2.role_code ,  count(*) from roles as t1 join employees as t2 on t1.role_code = t2.role_code group by t2.role_code;"
course_teach,what are the names of the teachers ordered by ascending age?,select name from teacher order by age asc
geo,what are the cities in states through which the mississippi runs,"select city_name from city where state_name in ( select traverse from river where river_name  =  ""mississippi"" );"
imdb,"find all actors who were born in "" new york city "" in 1984","select name from actor where birth_city  =  ""new york city"" and birth_year  =  1984;"
college_2,find the maximum and average capacity among rooms in each building.,"select max(capacity) ,  avg(capacity) ,  building from classroom group by building"
geo,give me the number of rivers in idaho,"select count ( river_name ) from river where traverse  =  ""idaho"";"
phone_1,find all phones that have word 'full' in their accreditation types. list the hardware model name and company name.,"select hardware_model_name ,  company_name from phone where accreditation_type like 'full';"
geo,what is the longest river in the state with the highest point,select t1.river_name from highlow as t2 join river as t1 on t1.traverse  =  t2.state_name where t2.highest_elevation  =  ( select max ( highest_elevation ) from highlow ) order by t1.length desc limit 1;
academic,"return me the number of journals which have papers by "" h. v. jagadish "" .","select count ( distinct t2.name ) from publication as t4 join journal as t2 on t4.jid  =  t2.jid join writes as t3 on t3.pid  =  t4.pid join author as t1 on t3.aid  =  t1.aid where t1.name  =  ""h. v. jagadish"";"
ship_1,return the rank for which there are the fewest captains.,select rank from captain group by rank order by count(*) desc limit 1
e_government,return the name of the organization which has the most contact individuals.,select t1.organization_name from organizations as t1 join organization_contact_individuals as t2 on t1.organization_id  =  t2.organization_id group by t1.organization_name order by count(*) desc limit 1
wrestler,give the names of wrestlers and their elimination moves.,"select t2.name ,  t1.elimination_move from elimination as t1 join wrestler as t2 on t1.wrestler_id  =  t2.wrestler_id"
scholar,what is the venue of fracture of acrylic bone cement ?,"select distinct venueid from paper where title  =  ""fracture of acrylic bone cement"";"
world_1,what language is predominantly spoken in aruba?,"select t2.language from country as t1 join countrylanguage as t2 on t1.code  =  t2.countrycode where t1.name  =  ""aruba"" order by percentage desc limit 1"
scholar,who published papers in cvpr 2007,"select distinct count ( t2.paperid )  ,  t1.authorid from venue as t3 join paper as t2 on t3.venueid  =  t2.venueid join writes as t1 on t1.paperid  =  t2.paperid where t2.year  =  2007 and t3.venuename  =  ""cvpr"" group by t1.authorid order by count ( t2.paperid ) desc;"
insurance_and_eclaims,find the type code of the most frequently used policy.,select policy_type_code from policies group by policy_type_code order by count(*) desc limit 1
